id;first_name;last_name;email;phone_number;password;type
1;Ali;Husnain;Ali_Husnain59@hotmail.com;03004434567;Practical Fresh Pants;PASSENGER
2;Bilal;Asif;Bilal0@hotmail.com;03004567567;methodology Albania;PASSENGER
3;Muhammad;Adnan;M.Adnan@gmail.com;03056783567;Cambridgeshire Mississippi;PASSENGER
4;Umair;Hassan;Umair_Hassan96@yahoo.com;03029384767;Public-key;DRIVER
5;Shahan;Raza;Shahan90@yahoo.com;03029383471;convergence;PASSENGER
6;Salman;Ali;Salman_Ali@hotmail.com;03018597364;archive Georgia Aruba;DRIVER
7;Abdul;Rehman;Abdul_Rehman@yahoo.com;03018836564;Car Industrial deliverables;PASSENGER
8;Muneeb;Nasir;Muneeb_Nasir@hotmail.com;03018833339;Frozen IB;DRIVER
9;Hamzah;Qureshi;Hamzah_Qureshi63@hotmail.com;03218829839;embrace Developer;PASSENGER
10;Omar;Bashir;obashir2@yahoo.com;03234556639;Harbor Montana;DRIVER
